~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3166.5672 3166.5672 59.6947 23.7419 8.7407 2.5765 0.0294 0.0346 58.4203 27.0935
3166.4148 3166.4148 59.5112 23.1579 8.7407 2.5763 0.0279 0.0322 57.6220 27.3444
3166.2624 3166.2624 59.4183 22.1631 8.7595 2.5838 0.0263 0.0290 55.7238 27.6901
3166.1100 3166.1100 59.3787 21.8917 8.7901 2.5881 0.0258 0.0367 53.6485 28.1909
3165.9576 3165.9576 59.8614 23.5681 8.7901 2.5850 0.0276 0.0303 51.4634 28.5963
3165.8052 3165.8052 60.6075 27.0720 8.7901 2.5819 0.0338 0.0253 50.3444 28.8469
3165.6528 3165.6528 61.1597 30.7757 8.8093 2.5751 0.0423 0.0332 47.9626 29.0973
3165.5004 3165.5004 61.4263 33.3754 8.8395 2.5681 0.0470 0.0359 44.7524 29.3482
3165.3480 3165.3480 61.6510 35.2837 8.8395 2.5628 0.0477 0.0323 42.1353 29.5000
3165.1956 3165.1956 61.8770 39.4348 8.8592 2.5724 0.0534 0.0330 39.6112 29.4003
3165.0432 3165.0432 62.0434 44.0159 8.8889 2.5690 0.0627 0.0483 38.3909 29.3501
3164.8908 3164.8908 62.5251 44.3745 8.8889 2.5288 0.0658 0.0442 37.5460 29.7020
3164.7384 3164.7384 63.0124 44.1796 8.8889 2.5213 0.0668 0.0514 37.4062 30.2031
3164.5860 3164.5860 63.1285 43.6319 8.8889 2.5483 0.0659 0.0983 37.2018 30.5000
3164.4336 3164.4336 63.0883 42.5345 8.8889 2.5596 0.0628 0.1208 37.3434 30.3971
3164.2812 3164.2812 62.8891 41.1417 8.8889 2.5616 0.0578 0.1106 37.5460 30.1466
3164.1288 3164.1288 62.4651 39.0156 8.8889 2.5518 0.0520 0.0854 37.8360 29.6884
