~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:18 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1TP__0003__SC_1TP__0003__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:49 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3234.9948 3234.9948 55.9632 158.4869 8.5258 2.5441 0.0255 0.0234 1500.7979 29.0896
3234.8424 3234.8424 55.8518 158.0787 8.5258 2.5391 0.0272 0.0298 1450.9088 29.8858
3234.6900 3234.6900 55.8821 160.0569 8.5258 2.5345 0.0280 0.0139 1492.1100 29.8858
3234.5376 3234.5376 55.8522 164.3338 8.5258 2.5455 0.0280 0.0207 1595.0740 29.9852
3234.3852 3234.3852 55.8819 166.4340 8.5258 2.5479 0.0275 0.0309 1717.3645 30.4283
3234.2328 3234.2328 55.8318 165.3060 8.5258 2.5495 0.0260 0.0308 1849.3888 30.5737
3234.0804 3234.0804 55.8026 164.0851 8.5258 2.5607 0.0243 0.0500 1960.0237 30.5330
3233.9280 3233.9280 55.8736 164.6360 8.5152 2.5815 0.0231 0.0668 1960.0237 31.2208
3233.7756 3233.7756 55.9706 166.1162 8.4862 2.5928 0.0217 0.0733 1963.9116 31.6097
3233.6232 3233.6232 55.8704 168.7683 8.5367 2.5991 0.0203 0.0788 1978.1868 31.7700
3233.4708 3233.4708 55.7812 170.0011 8.5652 2.6067 0.0199 0.0621 1978.1868 32.4559
3233.3184 3233.3184 55.7421 170.2953 8.5258 2.6041 0.0193 0.0537 1978.1868 32.8957
3233.1660 3233.1660 55.7646 170.1453 8.5258 2.6033 0.0188 0.0539 1978.1868 33.0874
3233.0136 3233.0136 55.8763 169.0002 8.5258 2.5793 0.0184 0.0393 1974.0449 33.0874
3232.8612 3232.8612 55.9920 168.2511 8.5258 2.5629 0.0173 0.0241 1960.0237 33.2002
3232.7088 3232.7088 55.9687 167.1417 8.5375 2.5650 0.0161 0.0251 1955.8355 33.6373
3232.5564 3232.5564 55.9038 163.9446 8.5643 2.5465 0.0148 0.0233 1854.5799 33.8842
3232.4040 3232.4040 55.9893 161.2656 8.5497 2.5401 0.0138 0.0190 1508.1540 33.9559
3232.2516 3232.2516 56.1539 161.2481 8.6023 2.5470 0.0124 0.0319 1320.9769 33.7575
3232.0992 3232.0992 56.1676 162.5071 8.5258 2.5605 0.0126 0.0331 1383.5083 34.3786
3231.9468 3231.9468 56.0431 163.3236 8.5258 2.5709 0.0127 0.0354 1413.5413 34.6252
3231.7944 3231.7944 55.8673 162.3959 8.5383 2.5713 0.0131 0.0326 1346.0905 34.9944
3231.6420 3231.6420 55.8298 160.8872 8.5762 2.5833 0.0125 0.0386 1300.4249 35.5502
3231.4896 3231.4896 55.9928 159.2970 8.5890 2.5870 0.0116 0.0436 1238.6410 35.5502
3231.3372 3231.3372 56.1547 157.7528 8.6265 2.5802 0.0108 0.0482 1227.8745 35.6759
3231.1848 3231.1848 56.1919 156.9821 8.6265 2.5632 0.0101 0.0350 1276.6414 36.0427
3231.0324 3231.0324 56.1134 157.0645 8.6265 2.5487 0.0103 0.0266 1323.4857 36.1072
3230.8800 3230.8800 55.8658 156.1998 8.6265 2.5395 0.0114 0.0235 1434.5055 36.3538
3230.7276 3230.7276 55.8054 156.5911 8.6265 2.5490 0.0118 0.0164 1506.5114 36.5353
3230.5752 3230.5752 55.8286 156.8995 8.6265 2.5565 0.0119 0.0187 1493.6865 36.5353
3230.4228 3230.4228 55.7785 157.3720 8.6265 2.5625 0.0121 0.0289 1498.9265 36.7368
3230.2704 3230.2704 55.7832 158.1056 8.6265 2.5693 0.0127 0.0308 1462.7508 37.2741
3230.1180 3230.1180 56.0030 157.5286 8.6265 2.5822 0.0139 0.0378 1503.8743 37.4792
3229.9656 3229.9656 56.3199 156.1308 8.6406 2.6063 0.0151 0.0507 1531.5083 38.2201
3229.8132 3229.8132 56.3918 155.5741 8.7052 2.6176 0.0160 0.0679 1365.3764 38.8211
3229.6608 3229.6608 56.3776 155.2566 8.7776 2.5919 0.0164 0.0531 1294.1714 39.0683
3229.5084 3229.5084 56.2411 154.3007 8.7776 2.5772 0.0161 0.0307 1333.9479 39.2444
3229.3560 3229.3560 55.9487 154.1334 8.7630 2.5714 0.0147 0.0246 1413.7109 39.2444
3229.2036 3229.2036 55.9006 156.5375 8.7125 2.5702 0.0132 0.0280 1410.5691 39.3164
3229.0512 3229.0512 55.8939 159.1513 8.6769 2.5665 0.0122 0.0227 1571.0281 39.6366
3228.8988 3228.8988 55.3480 159.6920 8.6769 2.5761 0.0112 0.0176 1782.4567 40.0568
3228.7464 3228.7464 55.0276 158.4632 8.6618 2.5910 0.0105 0.0284 1943.9626 40.1555
3228.5940 3228.5940 55.3575 156.9798 8.6265 2.6038 0.0105 0.0404 1922.7813 40.0580
3228.4416 3228.4416 55.4536 157.2047 8.6111 2.5978 0.0108 0.0463 1960.0237 40.2295
3228.2892 3228.2892 55.6230 158.2331 8.5762 2.5989 0.0107 0.0484 1960.0237 40.3811
3228.1368 3228.1368 55.6610 158.2074 8.5919 2.5892 0.0105 0.0467 1876.2858 40.7987
3227.9844 3227.9844 55.5608 158.2541 8.6265 2.5968 0.0106 0.0598 1534.1111 40.9683
3227.8320 3227.8320 55.4607 158.8178 8.6265 2.5905 0.0108 0.0588 1110.9938 40.9683
3227.6796 3227.6796 55.4561 159.4984 8.6105 2.5797 0.0115 0.0568 871.2287 41.0469
3227.5272 3227.5272 55.6406 158.8815 8.5762 2.5935 0.0125 0.0574 690.8472 41.2146
3227.3748 3227.3748 55.7909 157.2590 8.5762 2.6120 0.0140 0.0662 583.5619 41.2946
3227.2224 3227.2224 56.0063 155.6075 8.5762 2.6056 0.0157 0.0765 504.5421 41.5413
3227.0700 3227.0700 56.3408 153.9564 8.5928 2.5765 0.0173 0.0608 417.0702 41.7072
3226.9176 3226.9176 56.5916 152.3581 8.5930 2.5622 0.0191 0.0455 347.8584 41.7072
3226.7652 3226.7652 56.8252 152.3861 8.5258 2.5535 0.0219 0.0355 306.5437 41.8717
3226.6128 3226.6128 57.2770 153.9552 8.5258 2.5483 0.0256 0.0382 274.9834 42.3660
3226.4604 3226.4604 57.7264 154.7174 8.5258 2.5667 0.0279 0.0470 256.8665 42.7763
3226.3080 3226.3080 57.7365 154.1560 8.5258 2.5863 0.0283 0.0622 249.0893 42.9385
3226.1556 3226.1556 57.3205 152.9783 8.5258 2.5982 0.0278 0.0732 240.0458 42.8536
3226.0032 3226.0032 57.0566 152.2988 8.5258 2.6016 0.0271 0.0803 226.4146 42.6923
