Rock Code Depth1(m) RHOB GR SP DT
ARENITO 49.0 2834.4876 2.5696 60.2976 58.5864 60.3093
ARENITO 49.0 2834.64 2.5688 60.8127 58.0141 60.9702
ARENITO 49.0 2834.7924 2.5644 60.7265 56.6367 61.3531
ARENITO 49.0 2834.9448 2.5701 60.5611 56.0405 61.1194
ARENITO 49.0 2835.0972 2.5834 60.6189 56.2132 60.5942
ARENITO 49.0 2835.2496 2.5848 59.9568 56.683 60.359
ARENITO 49.0 2835.402 2.5685 59.2129 57.6244 60.612
ARENITO 49.0 2835.5544 2.5451 59.0696 57.939 61.0482
ARENITO 49.0 2835.7068 2.5484 58.0108 57.9616 61.7729
ARENITO 49.0 2835.8592 2.5425 55.9489 57.9616 62.2507
ARENITO 49.0 2836.0116 2.5245 54.7078 57.9616 62.0133
ARENITO 49.0 2836.164 2.5312 55.7502 58.188 61.5754
ARENITO 49.0 2836.3164 2.5356 56.3818 58.2078 61.2625
ARENITO 49.0 2836.4688 2.5396 55.6633 57.9797 61.2394
ARENITO 49.0 2836.6212 2.5362 54.1519 57.7333 61.6563
ARENITO 49.0 2836.7736 2.5303 52.9648 56.7988 61.9216
ARENITO 49.0 2836.926 2.5448 51.6537 55.8102 62.1724
ARENITO 49.0 2837.0784 2.5627 50.9488 54.5906 62.5169
ARENITO 49.0 2837.2308 2.5713 51.0622 53.3585 62.5387
ARENITO 49.0 2837.3832 2.5624 51.305 52.3548 62.0682
ARENITO 49.0 2837.5356 2.5496 51.7087 51.5989 61.5667
ARENITO 49.0 2837.688 2.5564 53.4448 51.5583 60.9722
ARENITO 49.0 2837.8404 2.5569 55.8103 51.0909 61.0818
ARENITO 49.0 2837.9928 2.5673 57.1875 48.4851 62.1844
ARENITO 49.0 2838.1452 2.565 58.1135 45.3052 63.3344
ARENITO 49.0 2838.2976 2.5687 57.1318 41.857 63.9619
ARENITO 49.0 2838.45 2.5497 54.3964 40.0519 64.1799
ARENITO 49.0 2838.6024 2.5383 51.9034 39.2712 64.2361
ARENITO 49.0 2838.7548 2.5446 51.0195 38.532 64.3343
ARENITO 49.0 2838.9072 2.5372 52.0262 38.0289 64.2895
ARENITO 49.0 2839.0596 2.535 54.3008 37.5346 64.0452
ARENITO 49.0 2839.212 2.5243 55.0875 37.999 63.8923
ARENITO 49.0 2839.3644 2.5434 54.3052 38.4933 64.083
ARENITO 49.0 2839.5168 2.5527 52.3498 39.4698 64.3814
ARENITO 49.0 2839.6692 2.588 51.582 40.2141 64.3389
ARENITO 49.0 2839.8216 2.5839 52.2951 41.9237 63.8958
ARENITO 49.0 2839.974 2.5917 54.339 44.8684 62.7543
DIAMICTITO 44.0 2840.1264 2.576 55.9163 47.8344 61.4029
DIAMICTITO 44.0 2840.2788 2.5887 55.9321 51.2787 60.6964
DIAMICTITO 44.0 2840.4312 2.5858 56.2596 54.2493 60.342
DIAMICTITO 44.0 2840.5836 2.5868 57.8226 56.4783 60.4894
DIAMICTITO 44.0 2840.736 2.5798 60.7854 58.9414 60.4399
DIAMICTITO 44.0 2840.8884 2.5908 65.4971 61.9087 60.2396
DIAMICTITO 44.0 2841.0408 2.6058 72.7773 66.606 60.0392
DIAMICTITO 44.0 2841.1932 2.6231 81.2094 71.5343 59.8926
DIAMICTITO 44.0 2841.3456 2.6738 89.6649 74.7306 60.1935
DIAMICTITO 44.0 2841.498 2.6957 94.5668 77.2023 60.5897
DIAMICTITO 44.0 2841.6504 2.7111 94.8709 79.6619 60.5897
DIAMICTITO 44.0 2841.8028 2.6894 93.5892 81.3784 60.5897
DIAMICTITO 44.0 2841.9552 2.6793 94.5366 82.6043 60.5897
DIAMICTITO 44.0 2842.1076 2.6672 97.2944 83.3516 60.5897
DIAMICTITO 44.0 2842.26 2.6498 97.8257 84.349 60.5837
DIAMICTITO 44.0 2842.4124 2.6576 96.5076 85.8047 60.3384
DIAMICTITO 44.0 2842.5648 2.6562 95.3889 86.3067 60.2945
DIAMICTITO 44.0 2842.7172 2.6436 95.4144 87.0652 60.445
DIAMICTITO 44.0 2842.8696 2.6415 93.8545 88.2885 60.5862
DIAMICTITO 44.0 2843.022 2.6376 92.5194 89.239 60.4898
DIAMICTITO 44.0 2843.1744 2.6598 92.9848 89.2598 60.4919
DIAMICTITO 44.0 2843.3268 2.665 94.5943 89.7421 60.5461
DIAMICTITO 44.0 2843.4792 2.6947 95.2811 90.0007 60.6897
DIAMICTITO 44.0 2843.6316 2.6792 94.781 90.4827 60.6946
DIAMICTITO 44.0 2843.784 2.691 94.2903 90.7429 60.7949
DIAMICTITO 44.0 2843.9364 2.6804 95.3395 91.2225 60.8869
DIAMICTITO 44.0 2844.0888 2.6779 95.9345 91.4697 60.831
DIAMICTITO 44.0 2844.2412 2.6826 95.4236 91.7018 60.6897
DIAMICTITO 44.0 2844.3936 2.6683 94.6162 91.7169 60.7019
DIAMICTITO 44.0 2844.546 2.6659 92.7922 91.9641 60.8928
DIAMICTITO 44.0 2844.6984 2.6848 91.094 92.2112 60.9225
DIAMICTITO 44.0 2844.8508 2.6881 92.1541 92.4406 60.6897
DIAMICTITO 44.0 2845.0032 2.6825 93.0693 92.4585 60.6752
DIAMICTITO 44.0 2845.1556 2.681 93.9986 92.6869 60.4707
DIAMICTITO 44.0 2845.308 2.6724 93.9938 92.6478 60.2399
DIAMICTITO 44.0 2845.4604 2.6454 92.0883 92.1944 60.2399
DIAMICTITO 44.0 2845.6128 2.6321 90.9861 92.2356 60.2482
DIAMICTITO 44.0 2845.7652 2.6352 89.6242 92.6655 60.3572
DIAMICTITO 44.0 2845.9176 2.6206 88.8907 92.4838 60.5529
DIAMICTITO 44.0 2846.07 2.6312 90.0404 92.9557 60.6897
DIAMICTITO 44.0 2846.2224 2.6491 91.8944 93.226 60.6802
DIAMICTITO 44.0 2846.3748 2.6734 93.2878 93.6252 60.5849
DIAMICTITO 44.0 2846.5272 2.6824 94.5941 93.1795 60.5545
DIAMICTITO 44.0 2846.6796 2.6878 95.625 93.1543 60.6897
DIAMICTITO 44.0 2846.832 2.6692 95.5424 92.9332 60.7055
DIAMICTITO 44.0 2846.9844 2.6396 95.46 92.9594 60.8661
DIAMICTITO 44.0 2847.1368 2.6301 95.332 93.2336 61.0785
DIAMICTITO 44.0 2847.2892 2.6272 94.7245 93.6163 60.9669
DIAMICTITO 44.0 2847.4416 2.6381 93.3626 93.1795 60.801
DIAMICTITO 44.0 2847.594 2.6363 93.046 93.1795 60.8661
DIAMICTITO 44.0 2847.7464 2.6555 93.549 93.1199 60.6897
DIAMICTITO 44.0 2847.8988 2.6564 94.6956 92.6563 60.6586
DIAMICTITO 44.0 2848.0512 2.6707 95.5202 92.4714 60.3336
DIAMICTITO 44.0 2848.2036 2.6873 94.2616 92.6869 59.5131
DIAMICTITO 44.0 2848.356 2.6979 90.6259 92.6545 58.9839
DIAMICTITO 44.0 2848.5084 2.6862 87.2608 92.4406 58.9538
DIAMICTITO 44.0 2848.6608 2.6753 86.1455 92.4742 59.1833
DIAMICTITO 44.0 2848.8132 2.6595 88.8833 92.6526 60.2569
DIAMICTITO 44.0 2848.9656 2.6564 93.9186 92.3717 61.2894
DIAMICTITO 44.0 2849.118 2.6831 96.4449 91.9127 61.2894
DIAMICTITO 44.0 2849.2704 2.7014 95.7593 91.7018 61.2599
DIAMICTITO 44.0 2849.4228 2.6836 94.9331 91.7758 61.1045
DIAMICTITO 44.0 2849.5752 2.6819 94.1958 92.1944 61.197
DIAMICTITO 44.0 2849.7276 2.6707 94.0498 92.2325 61.2084
DIAMICTITO 44.0 2849.88 2.6663 94.5019 92.4018 61.0079
DIAMICTITO 44.0 2850.0324 2.6945 95.4621 92.1944 60.8237
DIAMICTITO 44.0 2850.1848 2.6813 97.9444 92.1544 60.7721
DIAMICTITO 44.0 2850.3372 2.6676 99.4788 91.9074 60.9643
DIAMICTITO 44.0 2850.4896 2.6558 98.1329 91.7018 61.0895
DIAMICTITO 44.0 2850.642 2.6453 96.1121 91.7018 61.081
DIAMICTITO 44.0 2850.7944 2.6368 95.662 91.7018 61.0135
DIAMICTITO 44.0 2850.9468 2.6307 95.9726 91.7018 60.8543
DIAMICTITO 44.0 2851.0992 2.6454 97.0203 91.6581 60.6897
DIAMICTITO 44.0 2851.2516 2.6504 98.5516 91.3664 60.7077
DIAMICTITO 44.0 2851.404 2.6625 100.8634 90.9177 60.8723
DIAMICTITO 44.0 2851.5564 2.6812 102.0339 90.7167 61.2948
DIAMICTITO 44.0 2851.7088 2.6893 101.595 90.7631 61.5486
DIAMICTITO 44.0 2851.8612 2.692 101.7445 90.8684 61.57
DIAMICTITO 44.0 2852.0136 2.6851 101.2648 90.4224 61.3918
DIAMICTITO 44.0 2852.166 2.6674 98.2355 90.1276 60.8132
DIAMICTITO 44.0 2852.3184 2.6698 93.7086 89.5349 59.8505
DIAMICTITO 44.0 2852.4708 2.6676 86.651 88.497 58.6678
DIAMICTITO 44.0 2852.6232 2.6624 78.6559 87.3646 57.6385
DIAMICTITO 44.0 2852.7756 2.6306 72.0155 86.8783 57.0932
DIAMICTITO 44.0 2852.928 2.6503 69.4653 87.424 57.6273
DIAMICTITO 44.0 2853.0804 2.6701 73.1215 88.1116 59.1649
DIAMICTITO 44.0 2853.2328 2.6746 81.3286 88.6059 60.3401
DIAMICTITO 44.0 2853.3852 2.6605 88.8827 89.0465 60.9332
DIAMICTITO 44.0 2853.5376 2.6761 91.717 89.1845 61.0784
DIAMICTITO 44.0 2853.69 2.678 91.0666 89.1569 61.0395
DIAMICTITO 44.0 2853.8424 2.6647 90.5479 89.8428 61.2088
DIAMICTITO 44.0 2853.9948 2.6607 91.7318 90.3368 61.9491
DIAMICTITO 44.0 2854.1472 2.6565 94.1988 90.7167 62.4543
DIAMICTITO 44.0 2854.2996 2.6589 97.1766 90.7167 62.3971
DIAMICTITO 44.0 2854.452 2.6869 100.6455 90.833 62.6005
DIAMICTITO 44.0 2854.6044 2.7119 102.3527 91.1508 62.698
DIAMICTITO 44.0 2854.7568 2.7078 101.3606 90.963 62.9728
DIAMICTITO 44.0 2854.9092 2.6786 98.8383 90.8425 63.2384
DIAMICTITO 44.0 2855.0616 2.6686 96.6263 90.5313 63.2137
DIAMICTITO 44.0 2855.214 2.6529 95.1612 90.9003 63.1757
DIAMICTITO 44.0 2855.3664 2.6464 94.6464 91.6417 63.3765
DIAMICTITO 44.0 2855.5188 2.6626 95.7899 92.1316 63.7019
DIAMICTITO 44.0 2855.6712 2.665 98.4939 91.9481 63.9648
DIAMICTITO 44.0 2855.8236 2.6536 101.2075 91.8841 64.149
DIAMICTITO 44.0 2855.976 2.6522 102.2185 91.5074 63.8933
DIAMICTITO 44.0 2856.1284 2.6593 101.6691 90.8975 63.3952
DIAMICTITO 44.0 2856.2808 2.6687 100.2065 90.7167 63.0316
DIAMICTITO 44.0 2856.4332 2.6762 98.1373 90.7167 62.4816
DIAMICTITO 44.0 2856.5856 2.6814 96.9809 90.784 61.6251
DIAMICTITO 44.0 2856.738 2.6737 96.192 91.0983 61.1345
