WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5886.956   13.71112   8.500000   28.1693    980.678    578.3698   1.785478   -0.021989   281.767    395.4783   6.9995     6199.124   
5886.804   12.93480   8.500000   28.8918    989.722    583.9932   1.785035   -0.015826   308.420    426.2247   6.9407     6185.704   
5886.651   12.40749   8.500000   29.3582    999.043    588.2444   1.788245   -0.011705   355.530    471.7566   6.3409     6113.115   
5886.499   11.51399   8.500000   31.1761    991.958    593.6890   1.808294   -0.002669   403.303    512.6639   5.7558     6074.685   
5886.347   10.41543   8.500000   33.7671    932.884    596.8846   1.867421   0.014036    436.267    532.7902   5.3659     6102.135   
5886.194   9.27292    8.500000   37.3254    810.987    600.7881   1.975218   0.047406    447.683    534.1267   5.9501     6165.575   
5886.042   9.34616    8.500000   40.6603    678.714    608.0645   2.116004   0.092933    440.991    526.3389   5.8081     6184.484   
5885.890   9.09715    8.500000   42.6190    568.855    616.8219   2.248090   0.140035    435.969    525.8334   6.1933     6233.284   
5885.737   9.24362    8.500000   42.5595    520.174    626.5823   2.328237   0.170885    435.679    529.6636   6.1845     6275.069   
5885.585   9.46334    8.500000   41.3305    524.501    634.7916   2.344007   0.179990    448.661    544.1768   5.8342     6304.044   
5885.433   9.44869    8.500000   38.9870    547.891    635.9542   2.324005   0.172783    477.681    563.0439   5.3902     6321.734   
5885.280   9.46334    8.500000   36.6144    560.892    632.3740   2.296165   0.163430    519.468    595.3521   4.6810     6257.075   
5885.128   9.46334    8.500000   35.3247    578.942    628.0081   2.269687   0.151375    582.457    637.5002   3.8426     6125.925   
5884.975   9.46883    8.500000   37.8404    587.289    619.1779   2.246842   0.136813    659.699    688.6963   2.9479     6043.575   
5884.822   9.44869    8.500000   42.4246    567.715    588.8430   2.239396   0.102072    736.208    736.4272   2.3432     6035.645   
5884.670   9.24362    8.500000   49.1320    507.278    542.1406   2.263649   0.056269    799.863    775.0259   2.0772     6035.035   
5884.518   8.81884    8.500000   55.2773    419.728    492.6321   2.335762   0.014984    834.216    788.0352   2.1004     6031.375   
