WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4019.294   25.8000    17.41000   1457.600   605.2000   1.528000   -0.080000   36.49000   73.4000    204.2000    4369.000   
4019.142   27.9000    17.40000   1463.800   607.2999   1.522000   -0.073000   32.41000   71.5000    200.0000    4370.000   
4018.989   32.7000    17.41000   1415.800   611.4000   1.543000   -0.063000   29.93000   75.5000    211.5000    4335.000   
4018.837   40.7000    17.40000   1366.000   615.5000   1.572000   -0.054000   28.41000   82.1000    201.0000    4293.000   
4018.685   50.4000    17.41000   1344.800   618.9000   1.592000   -0.049000   26.86000   83.1000    212.6000    4257.000   
4018.532   58.8000    17.40000   1338.700   618.5000   1.600000   -0.050000   25.36000   85.2000    220.2000    4269.000   
4018.380   63.0000    17.41000   1334.700   612.7000   1.602000   -0.054000   23.21000   96.8000    269.7000    4316.000   
4018.228   61.3000    17.41000   1328.500   607.4000   1.600000   -0.058000   18.33000   187.5000   564.7999    4321.000   
4018.075   54.9000    17.37000   1315.300   608.4000   1.603000   -0.051000   11.03000   552.1000   771.2000    4400.000   
4017.922   46.6000    17.31000   1288.400   617.2000   1.621000   -0.035000   6.02000    412.7000   756.2999    4462.000   
4017.770   40.3000    15.83000   1255.600   629.2999   1.650000   -0.018000   6.47000    394.6000   761.0000    4516.000   
4017.618   37.3000    15.44000   1233.400   638.2000   1.678000   -0.006000   9.41000    387.3000   779.7000    4563.000   
4017.465   36.6000    15.44000   1228.000   641.7999   1.693000   -0.001000   12.96000   384.0000   721.2000    4458.000   
4017.313   36.2000    15.40000   1235.700   640.7000   1.701000   0.003000    15.93000   303.1000   647.2999    4317.000   
4017.161   35.5000    14.83000   1201.900   624.7000   1.735000   0.011000    18.65000   262.1000   637.7999    4245.000   
4017.008   35.5000    10.93000   1041.400   585.4000   1.835000   0.021000    23.16000   261.0000   637.7999    4251.000   
4016.856   37.1000    8.88000    764.100    534.7999   2.021000   0.031000    26.86000   264.2000   474.7000    4318.000   
4016.703   39.0000    8.71000    498.600    495.6000   2.249000   0.032000    26.75000   241.0000   503.1000    4353.000   
4016.551   39.3000    8.73000    362.900    480.5000   2.416000   0.025000    22.99000   407.3000   595.7000    4353.000   
4016.398   38.3000    8.71000    341.500    478.4000   2.470000   0.018000    17.14000   432.9000   573.4000    4379.000   
4016.246   37.8000    8.73000    348.000    479.1000   2.466000   0.018000    12.18000   406.3000   560.6000    4369.000   
4016.094   38.2000    8.73000    349.000    482.6000   2.463000   0.022000    9.85000    404.2000   569.4000    4366.000   
4015.941   39.1000    8.73000    348.700    488.0000   2.466000   0.030000    9.44000    407.3000   573.4000    4338.000   
4015.789   40.0000    8.71000    351.400    497.7000   2.469000   0.042000    9.65000    406.3000   572.6000    4327.000   
4015.637   40.9000    8.73000    359.000    509.5000   2.471000   0.056000    9.80000    396.8000   565.2000    4341.000   
4015.484   41.4000    8.70000    364.900    514.0000   2.478000   0.063000    9.97000    406.3000   564.7999    4386.000   
4015.332   41.0000    8.70000    361.300    506.9000   2.490000   0.058000    10.02000   398.9000   547.2999    4347.000   
4015.179   40.8000    8.72000    349.700    492.5000   2.501000   0.043000    9.97000    394.7000   555.2999    4302.000   
4015.027   40.9000    8.71000    339.500    480.1000   2.502000   0.029000    9.95000    382.9000   524.7000    4392.000   
4014.875   41.8000    8.73000    336.100    476.6000   2.493000   0.022000    10.08000   354.8000   504.2000    4451.000   
4014.722   42.7000    8.77000    338.000    480.1000   2.485000   0.023000    10.25000   358.9000   497.8000    4489.000   
4014.570   42.9000    8.76000    341.300    483.7000   2.481000   0.025000    10.30000   361.0000   497.9000    4513.000   
4014.417   44.5000    8.75000    344.000    482.6000   2.478000   0.025000    10.06000   358.3000   482.1000    4406.000   
4014.265   47.9000    8.76000    344.400    484.0000   2.476000   0.031000    9.82000    341.0000   463.5000    4270.000   
4014.112   51.4000    8.77000    346.800    501.1000   2.475000   0.054000    9.80000    307.2000   553.6000    4242.000   
4013.960   52.6000    8.76000    357.800    534.7999   2.481000   0.091000    9.84000    420.0000   531.9000    4259.000   
4013.808   52.2000    8.76000    375.000    560.9000   2.497000   0.119000    9.33000    428.7000   603.1000    4259.000   
4013.655   52.2000    8.77000    381.100    551.0000   2.523000   0.116000    8.01000    564.2000   637.2000    4327.000   
4013.503   53.1000    8.77000    360.100    511.4000   2.550000   0.082000    6.43000    561.7000   647.2999    4362.000   
4013.351   54.6000    8.77000    324.800    474.9000   2.564000   0.045000    5.29000    565.2000   632.9000    4370.000   
4013.198   57.6000    8.77000    305.100    475.7000   2.551000   0.040000    4.86000    562.7000   648.4000    4342.000   
4013.046   60.9000    8.78000    324.100    524.1000   2.514000   0.080000    4.89000    551.5000   647.2999    4279.000   
4012.894   62.6000    8.82000    380.400    597.4000   2.477000   0.150000    5.18000    535.7000   618.9000    4274.000   
4012.741   61.9000    8.82000    439.200    660.9000   2.473000   0.218000    5.72000    463.1000   529.7000    4352.000   
4012.588   59.9000    8.99000    461.400    689.7000   2.512000   0.263000    6.27000    419.1000   506.3000    4385.000   
4012.436   57.6000    9.04000    439.800    690.6000   2.576000   0.283000    6.75000    416.8000   512.9000    4364.000   
4012.284   55.2000    9.02000    404.600    680.7000   2.634000   0.280000    6.79000    427.9000   509.4000    4284.000   
4012.131   52.2000    9.04000    384.600    654.2999   2.662000   0.250000    6.36000    436.8000   547.7999    4308.000   
