WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
3976.774   29.00000     88.0000    46.9894     55.2077     47.0977     55.7186     4296.000   
3976.622   30.30000     112.1000   57.0164     66.8344     59.5662     69.1831     4290.000   
3976.470   32.20000     127.6000   61.8016     73.1139     66.9884     79.0679     4295.000   
3976.317   33.80000     130.2000   63.3870     75.5092     76.5596     89.9498     4289.000   
3976.165   34.50000     123.9000   62.2300     74.9894     59.1562     71.9449     4294.000   
3976.013   35.30000     116.9000   59.2925     72.6106     54.9541     67.4528     4301.000   
3975.860   36.40000     114.5000   58.6138     73.4514     53.7032     67.2977     4310.000   
3975.708   37.00000     116.0000   68.7068     87.2971     52.4808     67.1429     4306.000   
3975.555   38.20000     116.9000   84.1395     108.8930    73.4514     93.9723     4303.000   
3975.403   40.60000     113.0000   107.1519    139.3157    109.1441    141.5794    4284.000   
3975.250   42.20000     105.6000   134.2765    174.9847    132.4341    174.9847    4289.000   
3975.098   43.10000     98.3000    157.7611    206.0629    169.4338    219.7860    4286.000   
3974.946   43.90000     93.1000    166.7247    217.7710    187.4995    245.4709    4292.000   
3974.793   44.20000     91.6000    160.3245    208.9296    191.8669    249.4595    4290.000   
3974.641   45.40000     94.7000    144.5440    189.2343    153.8155    199.9862    4287.000   
3974.488   46.00000     101.1000   126.7652    165.9587    99.0832     130.6171    4277.000   
3974.336   46.40000     108.0000   107.6465    142.2329    91.4113     121.6186    4286.000   
3974.184   47.10000     114.0000   98.6279     131.5225    97.7237     129.4196    4292.000   
3974.031   47.30000     118.1000   107.6465    143.8799    97.0510     130.6171    4287.000   
3973.879   47.80000     117.0000   127.9382    171.7908    108.3927    146.5547    4275.000   
3973.727   48.10000     109.2000   149.9685    200.4472    143.8799    192.3091    4280.000   
3973.574   48.30000     98.7000    167.8804    223.8721    193.1968    261.2161    4292.000   
3973.422   49.40000     93.2000    188.7991    250.6109    207.9697    273.5269    4294.000   
3973.270   49.80000     93.9000    195.4339    259.4180    187.0682    247.7422    4292.000   
3973.117   49.80000     97.4000    188.7991    250.0345    213.3045    280.5433    4280.000   
3972.964   49.90000     99.6000    185.7805    246.0368    177.8279    236.5920    4283.000   
3972.812   49.70000     99.3000    183.2314    242.1029    159.9558    214.2891    4286.000   
3972.660   49.00000     99.3000    169.4338    223.3572    192.7525    251.1887    4334.000   
3972.507   49.00000     101.6000   156.3148    206.0629    174.1807    228.0342    4329.000   
3972.355   48.70000     107.5000   144.5440    191.4256    142.8894    188.3649    4307.000   
3972.203   48.50000     112.4000   128.2331    171.3957    112.2018    150.6607    4275.000   
3972.050   47.90000     109.3000   117.7606    157.7611    102.3293    138.9952    4268.000   
3971.898   48.50000     101.5000   115.6112    155.9553    110.9175    151.0080    4272.000   
3971.745   48.90000     99.1000    118.0321    159.9558    120.7814    160.6942    4290.000   
3971.593   48.50000     106.9000   116.9500    158.8546    132.7394    179.0606    4289.000   
3971.440   48.90000     117.6000   111.4294    151.3561    124.4515    170.2158    4277.000   
3971.288   49.20000     121.7000   104.2317    142.5608    97.0510     133.6595    4264.000   
3971.136   48.60000     118.3000   95.7194     131.2200    82.4138     114.5513    4277.000   
3970.983   48.50000     112.2000   93.9723     128.5287    85.3100     116.1449    4288.000   
3970.831   48.70000     106.3000   104.4720    141.9057    89.9498     122.4616    4308.000   
3970.679   48.90000     100.6000   119.6741    160.3245    115.6112    156.6751    4286.000   
3970.526   48.90000     94.2000    138.0385    183.2314    149.6235    199.9862    4250.000   
