WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3371.747   43.7000    12.53000   389.0      108.1      392.6450    50.50000   3756   
3371.594   45.5000    12.48000   421.7      114.0      392.6450    50.20000   3769   
3371.442   45.4000    12.44000   451.9      119.4      391.7419    50.50000   3882   
3371.290   43.5000    12.44000   442.6      125.3      389.9421    50.90000   3923   
3371.137   42.1000    12.44000   375.8      132.4      383.7073    51.20000   3991   
3370.984   43.2000    12.44000   328.9      138.4      373.2502    51.40000   4047   
3370.832   44.8000    12.44000   322.8      140.9      363.9151    51.50000   4117   
3370.680   44.9000    12.44000   339.6      138.7      357.2729    51.40000   4175   
3370.527   44.6000    12.46000   347.5      134.0      354.8135    51.20000   4238   
3370.375   44.6000    12.63000   319.9      128.8      353.9974    51.00000   4024   
3370.223   44.4000    12.96000   309.0      125.9      353.1832    51.00000   3682   
3370.070   43.5000    12.98000   314.8      124.7      353.1832    51.00000   3599   
3369.917   42.6000    12.94000   335.0      124.7      357.2729    51.00000   3707   
3369.765   42.9000    13.01000   356.5      125.9      389.0452    51.00000   3761   
3369.613   43.4000    13.00000   376.7      129.7      415.9107    50.90000   3803   
3369.460   43.4000    12.88000   428.5      136.8      433.5110    50.80000   3786   
3369.308   43.3000    13.01000   539.5      145.2      421.6966    50.90000   3771   
3369.156   43.4000    13.01000   623.7      151.0      413.9998    51.00000   3767   
3369.003   43.0000    13.07000   683.9      154.2      413.0476    51.00000   3771   
3368.851   41.5000    12.97000   568.9      157.0      409.2607    51.00000   3748   
3368.699   40.4000    13.07000   426.6      158.1      406.4434    50.90000   3750   
3368.546   41.3000    13.06000   324.3      159.6      399.0250    50.80000   3776   
3368.394   43.5000    13.17000   313.3      160.0      381.9443    50.60000   3790   
3368.241   46.4000    13.26000   363.1      165.6      358.0965    51.00000   3804   
3368.089   48.6000    13.24000   424.6      170.6      342.7679    51.70000   3792   
3367.937   49.9000    13.12000   417.8      162.6      345.9395    51.80000   3776   
3367.784   49.8000    12.98000   407.4      154.5      363.9151    51.40000   3764   
3367.632   48.2000    12.90000   394.5      158.1      376.7039    50.90000   3759   
3367.479   46.0000    12.80000   385.5      178.6      381.0659    50.50000   3763   
3367.327   43.4000    12.70000   376.7      203.2      374.9731    50.30000   3764   
3367.174   40.8000    12.87000   371.5      218.3      364.7540    50.10000   3771   
3367.022   38.9000    12.68000   413.0      231.2      353.1832    50.00000   3776   
3366.870   38.7000    12.66000   477.5      235.5      345.1438    50.20000   3775   
3366.717   40.1000    12.72000   469.9      208.9      337.2874    50.70000   3772   
3366.565   42.0000    12.85000   376.7      161.8      323.5938    51.10000   3769   
3366.413   44.4000    12.97000   282.5      124.2      305.4922    51.40000   3768   
3366.260   46.7000    12.87000   246.6      103.0      279.2545    52.10000   3772   
3366.108   48.2000    12.83000   253.5      92.3       252.3481    52.80000   3776   
3365.955   48.4000    12.80000   295.1      84.7       239.3316    53.00000   3774   
3365.803   48.8000    12.76000   359.7      78.7       246.6040    53.00000   3767   
3365.650   50.2000    13.11000   398.1      77.1       276.0579    52.70000   3765   
3365.498   51.1000    12.94000   374.1      83.6       311.1717    52.10000   3820   
3365.346   49.9000    12.71000   368.1      101.4      334.9655    51.50000   3845   
3365.193   46.1000    12.75000   432.5      129.7      345.9395    50.90000   3815   
3365.041   42.4000    12.96000   598.4      157.4      345.9395    50.30000   3771   
3364.889   40.8000    12.98000   812.8      164.1      347.5363    50.20000   3760   
3364.736   40.8000    13.10000   843.3      152.4      356.4512    50.40000   3769   
3364.583   41.0000    12.82000   737.9      139.0      374.9731    50.70000   3781   
3364.431   40.8000    12.69000   657.7      129.7      389.9421    50.80000   3782   
3364.279   40.5000    12.67000   592.9      121.9      381.9443    50.90000   3766   
3364.126   39.7000    12.64000   682.3      116.1      362.2431    51.00000   3759   
3363.974   37.9000    12.85000   724.4      113.8      341.9795    51.00000   3780   
3363.822   37.0000    13.41000   751.6      117.8      337.2874    50.70000   3793   
