WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
3988.205   10.33863   60.6411    26.598     291.0000   285.0000   409.0000   400.0000   58.04044   0.0        116.280    50.273     4195.274   
3988.052   10.31624   61.2442    21.572     292.0000   288.0000   412.0000   404.0000   58.23257   0.0        104.991    45.908     4188.564   
3987.900   10.27779   59.5311    22.838     292.0000   288.0000   412.0000   406.0000   58.14753   0.0        92.866     45.274     4180.939   
3987.748   10.24766   55.8394    35.712     293.0000   288.0000   412.0000   409.0000   58.09379   0.0        85.552     48.547     4176.060   
3987.595   10.22241   53.9712    73.054     294.0000   290.0000   411.0000   409.0000   58.29356   0.0        83.165     56.195     4174.229   
3987.442   10.22643   55.9084    53.559     294.0000   289.0000   408.0000   406.0000   58.73104   0.0        85.730     67.553     4230.045   
3987.290   10.24135   61.1000    36.592     295.0000   288.0000   408.0000   403.0000   59.09833   0.0        91.616     78.007     4231.569   
3987.138   10.25627   65.5603    33.122     294.0000   288.0000   407.0000   402.0000   59.06657   0.0        98.743     80.571     4204.425   
3986.985   10.28353   64.6984    31.849     292.0000   285.0000   407.0000   400.0000   58.54610   0.0        102.721    75.867     4189.175   
3986.833   10.29386   60.4285    30.478     290.0000   285.0000   407.0000   401.0000   57.83249   0.0        103.175    70.356     4186.430   
3986.681   10.31079   55.1205    30.072     290.0000   283.0000   406.0000   401.0000   57.14601   0.0        101.004    66.803     4173.925   
3986.528   10.29702   50.2709    37.127     290.0000   285.0000   409.0000   400.0000   56.76130   0.0        98.042     65.037     4183.685   
3986.375   10.30649   47.0725    33.126     292.0000   286.0000   410.0000   401.0000   56.79355   0.0        94.318     64.441     4225.470   
3986.223   10.30534   45.7050    23.417     294.0000   284.0000   411.0000   401.0000   57.09530   0.0        91.664     64.623     4268.779   
3986.071   10.31596   48.2340    21.911     295.0000   285.0000   412.0000   404.0000   57.60246   0.0        89.162     65.317     4328.255   
3985.918   10.32084   54.7833    30.562     296.0000   283.0000   413.0000   404.0000   58.07835   0.0        88.702     65.618     4298.060   
