Rock Code Depth(m) RHOB GR SP DT
Conglomerate 42.0 2260.0 2.392508202972767 11.687583683831134 -46.55259319543927 105.71487820472954
Conglomerate 42.0 2270.0 2.315774500830623 21.75218669062118 -39.97723172238537 102.57391421000395
Conglomerate 42.0 2280.0 2.3409431621183683 25.951962150529113 -39.30536235340276 123.67738111299612
Conglomerate 42.0 2290.0 2.386648488503003 12.668957316428664 -30.97762659683179 159.08650088476563
Conglomerate 42.0 2300.0 2.2971578059123643 21.776061649195327 -44.466575696167915 143.65972449323627
Conglomerate 42.0 2310.0 2.2593428974134024 21.745984243175418 -37.5045954868049 116.73271427358105
Conglomerate 42.0 2320.0 2.285248373333042 22.987302786327877 -30.325209777683035 110.1528359706685
Conglomerate 42.0 2330.0 2.4119287915542427 30.936526241859326 -42.28451955237632 99.3694717879173
Conglomerate 42.0 2340.0 2.4681619465378013 21.571474422907507 -28.28698827054569 83.39693464828348
Conglomerate 42.0 2350.0 2.3216320264818293 28.64312032071063 -40.88495776105474 138.29420782173872
Conglomerate 42.0 2360.0 2.385643105073945 29.889137053535034 -41.41529289337992 154.11519527083112
Conglomerate 42.0 2370.0 2.167737439140808 12.921135245056231 -38.723741918804954 154.29337700912276
Conglomerate 42.0 2380.0 2.2622346833730123 14.295104589233643 -45.671251117514466 87.32815623426356
Conglomerate 42.0 2390.0 2.1904548599706395 19.257007117659896 -36.91745960877929 140.67436534935138
Conglomerate 42.0 2400.0 2.450513439376653 35.215011631112596 -44.198811742800395 135.50500181100108
Conglomerate 42.0 2410.0 2.52014009109096 19.911952831220727 -51.203898197352956 138.07027843592158
Conglomerate 42.0 2420.0 2.3421355438617453 15.598892136610546 -44.47013602679935 123.9250876724083
Conglomerate 42.0 2430.0 2.598510686684718 22.70059669686087 -42.89008873410767 134.38686112626422
Conglomerate 42.0 2440.0 2.244296525187019 21.0776448276608 -43.847672195032615 90.9749421202828
Conglomerate 42.0 2450.0 2.2100768167774523 15.740568141514665 -52.940896065775796 53.68595654971188
Conglomerate 42.0 2460.0 2.378264558831733 30.840763006088466 -45.30851515990378 119.41625063030271
Conglomerate 42.0 2470.0 2.3974905378457336 10.684502462314633 -30.708008846706033 132.8655202219227
Conglomerate 42.0 2480.0 2.268173967852858 20.71935927292296 -55.760558521264905 122.99006743047728
Conglomerate 42.0 2490.0 2.2410512512184506 13.208890454702182 -48.60174180538355 133.88068017078618
Conglomerate 42.0 2500.0 2.2972977375262835 17.161967859856514 -44.521451675693626 106.44877549261557
Conglomerate 42.0 2510.0 2.1117487794312004 30.459534822269806 -34.95239461202841 126.39859411829184
Conglomerate 42.0 2520.0 2.2389330982449933 15.804227609332626 -39.12972009617775 119.9996625769824
Conglomerate 42.0 2530.0 2.2384692594692503 19.684024965748613 -19.883282259980067 69.59285777968367
Conglomerate 42.0 2540.0 2.300324069542546 16.075736564110837 -47.4730696499055 121.18424215113077
Conglomerate 42.0 2550.0 2.235859786354556 20.56610868032772 -51.79872861630525 89.0970890554801
Conglomerate 42.0 2560.0 2.2852278618759474 25.039822418261934 -43.288342674196 113.64660399868968
Conglomerate 42.0 2570.0 2.253559744969118 23.620710880179605 -25.05433735443665 98.19562126773971
Conglomerate 42.0 2580.0 2.1857632353079124 20.866327542164296 -42.420603442491704 115.84643701453604
Conglomerate 42.0 2590.0 2.3107844432505136 27.738859665269946 -37.624684917826315 85.04333115081033
