Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
diamictito         44.0        3129.0768        63.8385        2.6419        59.3997        59.2446
diamictito         44.0        3128.9244        62.0409        2.6821        58.7657        58.9937
diamictito         44.0        3128.7720        60.5336        2.6849        58.2816        58.7372
diamictito         44.0        3128.6196        58.7152        2.6819        57.9958        58.2427
diamictito         44.0        3128.4672        56.4783        2.6780        57.9830        57.9918
diamictito         44.0        3128.3148        54.8291        2.6760        57.5835        57.7319
diamictito         44.0        3128.1624        53.2881        2.6484        57.0146        57.2225
diamictito         44.0        3128.0100        50.6374        2.6588        56.9046        56.4799
diamictito         44.0        3127.8576        47.5670        2.6523        56.5357        55.9672
diamictito         44.0        3127.7052        44.8819        2.6137        56.7214        55.2058
diamictito         44.0        3127.5528        44.1619        2.6071        57.7002        54.2142
diamictito         44.0        3127.4004        44.0906        2.5902        57.6586        53.4743
diamictito         44.0        3127.2480        44.1398        2.5942        57.7862        52.9863
diamictito         44.0        3127.0956        45.1144        2.6122        58.3625        52.7362
diamictito         44.0        3126.9432        47.3533        2.5822        57.9498        52.5295
diamictito         44.0        3126.7908        49.2479        2.5891        58.0080        53.0312
diamictito         44.0        3126.6384        50.1709        2.6354        58.1698        53.5472
diamictito         44.0        3126.4860        50.3064        2.6415        57.8654        54.2334
diamictito         44.0        3126.3336        50.2260        2.6473        58.1106        53.9651
diamictito         44.0        3126.1812        50.0126        2.6225        58.3173        53.4648
diamictito         44.0        3126.0288        48.9707        2.6032        58.0157        52.9630
diamictito         44.0        3125.8764        48.2018        2.6208        57.6422        52.4418
diamictito         44.0        3125.7240        48.9987        2.6548        57.5188        51.7298
diamictito         44.0        3125.5716        49.3875        2.6620        57.6576        51.5000
diamictito         44.0        3125.4192        49.1122        2.6368        57.7275        51.4787
diamictito         44.0        3125.2668        49.0260        2.6009        57.9742        51.2279
diamictito         44.0        3125.1144        47.8173        2.5838        57.6556        50.9777
diamictito         44.0        3124.9620        44.0818        2.6349        56.5990        50.7732
diamictito         44.0        3124.8096        39.1895        2.6539        55.7556        50.9759
diamictito         44.0        3124.6572        35.3889        2.6527        54.9454        50.7002
arenito         49.0        3124.5048        35.5017        2.6512        55.2928        50.2249
arenito         49.0        3124.3524        36.8479        2.6610        56.0608        49.9740
arenito         49.0        3124.2000        34.1680        2.6538        56.0581        49.7232
arenito         49.0        3124.0476        31.1252        2.6691        54.5003        49.3922
arenito         49.0        3123.8952        28.4172        2.6686        53.9114        48.4165
arenito         49.0        3123.7428        26.4063        2.6565        54.1300        47.6927
arenito         49.0        3123.5904        25.0880        2.6531        54.5044        47.1635
arenito         49.0        3123.4380        23.4778        2.6548        54.7439        46.5000
arenito         49.0        3123.2856        22.1991        2.6617        54.9162        46.5612
arenito         49.0        3123.1332        20.9303        2.6671        54.9285        47.0314
arenito         49.0        3122.9808        19.7681        2.6691        55.0140        47.2184
arenito         49.0        3122.8284        18.9044        2.6799        54.9822        47.0000
arenito         49.0        3122.6760        18.4028        2.6975        54.7240        46.9667
